先锋 vanguard
冲锋手 Charger
尖兵 Pioneer
情报官 Agent
战术家 Tactician
执旗手 Standard-Bearer
近卫 guard
剑豪 Swordmaster
强攻手 Centurion
收割者 Reaper
教官 Instructor
斗士 Fighter
无畏者 Dreadnought
术战者 Arts-Fighter
武者 Musha
解放者 Liberator
领主 Lord
狙击 sniper
投掷手 Flinger
攻城手 Besieger
散射手 Spreadshooter
炮手 Artilleryman
神射手 Deadeye
速射手 Marksman
重射手 Heavyshooter
术师 caster
中坚术师 Core
扩散术师 Splash
秘术师 Mystic
轰击术师 Blast
链术师 Chain
阵法术师 Phalanx
驭械术师 Mech-Accord
重装 defender
不屈者 Juggernaut
决战者 Duelist
哨戒铁卫 Sentinel
守护者 Guardian
要塞 Fortress
铁卫 Protector
驭法铁卫 Arts-Protector
医疗 medic
医师 Medic-branch
咒愈师 Incantation
疗养师 Therapist
群愈师 Multi-target
行医 Wandering
辅助 supporter
凝滞师 Decel-Binder
削弱者 Hexer
召唤师 Summoner
吟游者 Bard
工匠 Artificer
护佑者 Abjurer
特种 specialist
伏击客 Ambusher
傀儡师 Dollkeeper
处决者 Executor
怪杰 Geek
推击手 Push-Stroker
行商 Merchant
钩索师 Hookmaster
陷阱师 Trapmaster
